folder,instance_id,repo,split,lite_index,model,failed,api_ms,total_ms,input_tokens,output_tokens,total_cost_usd,num_turns,tool_calls_total,tool_Bash,tool_Edit,tool_Glob,tool_Grep,tool_Read,tool_TodoWrite,tool_Write,tool_bash
runs,django__django-11049,django/django,test,11,claude-haiku-4-5-20251001,0,140137,149296,346,10393,0.26892144999999995,43,42,25,7,0,0,10,0,0,0
runs,django__django-11099,django/django,test,12,claude-haiku-4-5-20251001,0,140975,156172,226,15550,0.24657585000000004,28,27,19,2,0,0,6,0,0,0
runs,pylint-dev__astroid-1978,pylint-dev/astroid,dev,12,claude-haiku-4-5-20251001,0,224091,250765,418,18259,0.40788255000000007,52,51,32,10,0,0,9,0,0,0
runs,django__django-11133,django/django,test,13,claude-haiku-4-5-20251001,0,290233,321281,706,20357,0.7084298499999998,88,87,51,9,0,2,25,0,0,0
runs,pylint-dev__astroid-1333,pylint-dev/astroid,dev,13,claude-haiku-4-5-20251001,0,211778,253986,482,12929,0.4369303000000001,60,59,41,3,0,1,14,0,0,0
runs,django__django-11179,django/django,test,14,claude-haiku-4-5-20251001,0,249254,273601,610,15274,0.5112172999999999,76,75,44,9,1,0,21,0,0,0
runs,pylint-dev__astroid-1196,pylint-dev/astroid,dev,14,claude-haiku-4-5-20251001,0,146146,165017,314,10977,0.25976015,39,38,22,6,0,0,10,0,0,0
runs,django__django-11283,django/django,test,15,claude-haiku-4-5-20251001,0,170010,208140,394,13086,0.3261366000000001,49,48,23,9,0,0,16,0,0,0
runs,pylint-dev__astroid-1866,pylint-dev/astroid,dev,15,claude-haiku-4-5-20251001,0,154938,172963,306,12786,0.273916,38,37,29,3,0,0,5,0,0,0
runs,django__django-11422,django/django,test,16,claude-haiku-4-5-20251001,0,115372,129305,226,7493,0.23354429999999998,28,27,23,0,0,1,3,0,0,0
runs,pylint-dev__astroid-1268,pylint-dev/astroid,dev,16,claude-haiku-4-5-20251001,0,150342,181702,354,9991,0.35861945,44,43,34,2,0,0,7,0,0,0
runs,django__django-11564,django/django,test,17,claude-haiku-4-5-20251001,0,297374,345228,650,23636,0.7846997000000001,81,80,48,20,0,0,12,0,0,0
runs,pyvista__pyvista-4315,pyvista/pyvista,dev,17,claude-haiku-4-5-20251001,0,269587,447576,522,20811,0.5355737,65,64,47,4,0,0,13,0,0,0
runs,django__django-11583,django/django,test,18,claude-haiku-4-5-20251001,0,209450,222517,330,14547,0.37422465,41,40,26,3,0,0,7,4,0,0
runs,pydicom__pydicom-1694,pydicom/pydicom,dev,18,claude-haiku-4-5-20251001,0,153482,165233,322,12127,0.28300210000000003,40,39,27,2,0,3,7,0,0,0
runs,django__django-11620,django/django,test,19,claude-haiku-4-5-20251001,0,523276,565910,1106,34908,1.2728669500000003,138,137,68,29,0,1,35,0,4,0
runs,pydicom__pydicom-1413,pydicom/pydicom,dev,19,claude-haiku-4-5-20251001,0,326588,352010,698,19194,0.8161218000000003,87,86,66,4,0,0,16,0,0,0
runs,pydicom__pydicom-901,pydicom/pydicom,dev,20,claude-haiku-4-5-20251001,0,111083,118007,290,8556,0.2175174,36,35,25,4,0,0,5,0,1,0
runs,django__django-11742,django/django,test,21,claude-haiku-4-5-20251001,0,280808,301354,658,19309,0.6688331000000001,82,81,51,9,0,0,20,0,1,0
runs,pydicom__pydicom-1139,pydicom/pydicom,dev,21,claude-haiku-4-5-20251001,0,123483,137250,338,10630,0.30702885,42,41,30,2,0,3,6,0,0,0
runs,pydicom__pydicom-1256,pydicom/pydicom,dev,22,claude-haiku-4-5-20251001,0,111756,122157,266,8416,0.22334810000000002,33,32,19,2,0,0,11,0,0,0
runs,django__django-11815,django/django,test,23,claude-haiku-4-5-20251001,0,324208,362763,538,23220,0.6801308500000001,67,66,48,7,0,0,11,0,0,0
